Sport,Average_Age,Average_Height,Average_Weight
Alpine Skiing,23.338184118949698,173.51692502372666,72.08264789623537
Archery,26.272968667020713,173.24960169941582,70.01486988847584
Art Competitions,41.375,173.0625,78.25
Athletics,25.330203249521222,176.27645641564217,69.27373818496324
Badminton,25.80029368575624,174.2202643171806,68.17143906020559
Baseball,26.3096926713948,182.59929078014184,85.71808510638297
Basketball,25.453925845147218,191.22655398037077,85.80179934569247
Beach Volleyball,29.135687732342006,186.20260223048328,79.08921933085502
Biathlon,26.6578548212351,174.05200433369447,66.6314192849404
Bobsleigh,28.650793650793652,181.60861678004534,89.16167800453515
Boxing,23.286729314691726,172.86752234700893,65.31423332569334
Canoeing,25.410990990990992,178.55207207207206,76.49207207207208
Cross Country Skiing,26.088723602071987,173.2637800504715,65.88046221277726
Curling,31.13658536585366,174.16829268292682,72.13170731707316
Cycling,25.104464170847805,176.1929756850637,70.11089669368326
Diving,22.252113376429637,166.6618597712581,60.56961710591745
Equestrianism,34.11794421260707,174.397100812651,67.80397540083462
Fencing,26.913721890775584,177.29554841670492,71.38848095456632
Figure Skating,22.21494708994709,168.14880952380952,59.54365079365079
Football,23.578663065496286,175.43641683547153,70.47614224623003
Freestyle Skiing,24.41949616648412,170.9408543263965,67.02683461117196
Golf,29.583333333333332,174.0462962962963,71.19444444444444
Gymnastics,21.688358601061793,162.85966832685676,56.88511849378797
Handball,26.492618258511598,183.48357939138296,81.50346489906599
Hockey,25.64751407129456,173.38789868667916,69.16486866791745
Ice Hockey,25.844944310984932,178.92312732037564,80.83773749727014
Judo,25.41027926322044,174.16488413547236,78.8201128936423
Lacrosse,28.0,174.0,66.5
Luge,24.686274509803923,176.65504720406682,77.28249818445897
Modern Pentathlon,26.11914217633042,178.08260524225577,70.28157267672756
Motorboating,27.0,181.0,77.0
Nordic Combined,24.07793427230047,176.53521126760563,66.91596244131455
Rhythmic Gymnastics,18.808130081300813,167.7951219512195,48.760975609756095
Rowing,25.413607188703466,184.26598202824132,80.1688703465982
Rugby,24.1,173.66666666666666,77.53333333333333
Rugby Sevens,26.08080808080808,175.36363636363637,79.006734006734
Sailing,29.413530742340118,178.2704092124203,75.98046473370347
Shooting,32.01129476584022,173.54159779614326,74.03684573002755
Short Track Speed Skating,22.836021505376344,170.10819892473117,64.31048387096774
Skeleton,29.028735632183906,176.22413793103448,74.16666666666667
Ski Jumping,23.216683621566634,176.49847405900306,65.08723296032554
Snowboarding,24.872294372294373,173.04329004329006,69.52705627705627
Softball,26.22902494331066,169.42857142857142,67.47165532879819
Speed Skating,24.215454545454545,174.0925,70.03011363636364
Swimming,20.6228696207925,178.60284405624202,70.5977844056242
Synchronized Swimming,22.48527679623086,168.489988221437,55.85630153121319
Table Tennis,26.623812185578537,171.25377305757405,64.91503633314701
Taekwondo,24.083892617449663,176.75,68.08808724832215
Tennis,25.099601593625497,178.91583665338646,70.80229083665338
Trampolining,25.16778523489933,166.56375838926175,59.32214765100671
Triathlon,27.893536121673005,173.6406844106464,61.81749049429658
Tug-Of-War,26.5,182.55,91.8
Volleyball,25.237107110161734,186.97894415624046,78.90021361000916
Water Polo,25.705774181684443,185.03604266274365,84.56822361162192
Weightlifting,25.288836583725622,167.80531271015468,79.61281102891728
Wrestling,25.68106440416506,172.41843424604704,75.60277670651755
