sport,athlete_count
Athletics,32374
Swimming,18776
Gymnastics,18271
Rowing,7790
Cycling,7773
Cross Country Skiing,7529
Shooting,7260
Fencing,6537
Alpine Skiing,6322
Canoeing,5550
Wrestling,5186
Sailing,4863
Biathlon,4615
Ice Hockey,4579
Equestrianism,4553
Football,4443
Speed Skating,4400
Boxing,4363
Hockey,4264
Basketball,3668
Judo,3366
Handball,3319
Volleyball,3277
Weightlifting,2974
Water Polo,2719
Bobsleigh,2205
Diving,2011
Tennis,2008
Ski Jumping,1966
Archery,1883
Table Tennis,1789
Figure Skating,1512
Short Track Speed Skating,1488
Luge,1377
Badminton,1362
Modern Pentathlon,1259
Nordic Combined,1065
Snowboarding,924
Freestyle Skiing,913
Synchronized Swimming,849
Baseball,846
Rhythmic Gymnastics,615
Taekwondo,596
Beach Volleyball,538
Triathlon,526
Softball,441
Curling,410
Rugby Sevens,297
Skeleton,174
Trampolining,149
Golf,108
Rugby,30
Tug-Of-War,20
Art Competitions,16
Lacrosse,2
Motorboating,1
