Sport,Sex,Count
Alpine Skiing,F,2604
Alpine Skiing,M,3718
Archery,F,883
Archery,M,1000
Art Competitions,M,16
Athletics,F,10983
Athletics,M,21391
Badminton,F,660
Badminton,M,702
Baseball,M,846
Basketball,F,1207
Basketball,M,2461
Beach Volleyball,F,265
Beach Volleyball,M,273
Biathlon,F,1807
Biathlon,M,2808
Bobsleigh,F,143
Bobsleigh,M,2062
Boxing,F,59
Boxing,M,4304
Canoeing,F,1280
Canoeing,M,4270
Cross Country Skiing,F,3086
Cross Country Skiing,M,4443
Curling,F,206
Curling,M,204
Cycling,F,1338
Cycling,M,6435
Diving,F,968
Diving,M,1043
Equestrianism,F,1153
Equestrianism,M,3400
Fencing,F,1774
Fencing,M,4763
Figure Skating,F,770
Figure Skating,M,742
Football,F,984
Football,M,3459
Freestyle Skiing,F,427
Freestyle Skiing,M,486
Golf,F,55
Golf,M,53
Gymnastics,F,7575
Gymnastics,M,10696
Handball,F,1283
Handball,M,2036
Hockey,F,1390
Hockey,M,2874
Ice Hockey,F,754
Ice Hockey,M,3825
Judo,F,997
Judo,M,2369
Lacrosse,M,2
Luge,F,351
Luge,M,1026
Modern Pentathlon,F,164
Modern Pentathlon,M,1095
Motorboating,M,1
Nordic Combined,M,1065
Rhythmic Gymnastics,F,615
Rowing,F,2123
Rowing,M,5667
Rugby,M,30
Rugby Sevens,F,146
Rugby Sevens,M,151
Sailing,F,871
Sailing,M,3992
Shooting,F,1664
Shooting,M,5596
Short Track Speed Skating,F,739
Short Track Speed Skating,M,749
Skeleton,F,65
Skeleton,M,109
Ski Jumping,F,26
Ski Jumping,M,1940
Snowboarding,F,412
Snowboarding,M,512
Softball,F,441
Speed Skating,F,1941
Speed Skating,M,2459
Swimming,F,8455
Swimming,M,10321
Synchronized Swimming,F,849
Table Tennis,F,862
Table Tennis,M,927
Taekwondo,F,290
Taekwondo,M,306
Tennis,F,964
Tennis,M,1044
Trampolining,F,75
Trampolining,M,74
Triathlon,F,261
Triathlon,M,265
Tug-Of-War,M,20
Volleyball,F,1495
Volleyball,M,1782
Water Polo,F,488
Water Polo,M,2231
Weightlifting,F,460
Weightlifting,M,2514
Wrestling,F,303
Wrestling,M,4883
