NOC,participants_by_country
USA,14207
FRA,7974
CAN,7965
GBR,7765
ITA,7697
JPN,7487
GER,7302
AUS,6619
POL,5725
SWE,5314
CHN,4878
URS,4874
RUS,4809
HUN,4681
FIN,4389
ESP,4340
SUI,4129
KOR,3854
NED,3729
ROU,3477
FRG,3270
BRA,3184
AUT,3159
NOR,3061
BUL,3021
TCH,2713
GDR,2608
UKR,2425
MEX,2306
ARG,2212
CUB,2210
NZL,1940
CZE,1870
GRE,1855
BEL,1748
DEN,1704
BLR,1703
YUG,1644
KAZ,1344
POR,1101
RSA,1069
TPE,1052
SVK,1040
IRL,1037
SLO,1032
COL,945
TUR,915
EGY,869
IND,844
CRO,835
JAM,809
EST,786
VEN,785
LAT,776
NGR,729
PUR,724
EUN,715
KEN,677
THA,669
IRI,665
PRK,640
HKG,625
LTU,593
ISR,572
TUN,520
CHI,513
PHI,507
MGL,483
ALG,481
MAS,460
UZB,453
MAR,450
ISL,426
LUX,419
PER,404
SRB,392
PAK,366
BAH,351
ETH,347
TTO,345
URU,336
INA,334
GUA,325
SEN,321
SCG,306
GHA,297
ZIM,287
GEO,285
LIE,264
AZE,263
ECU,257
SGP,254
CMR,251
ANG,245
ISV,239
UGA,222
MDA,222
LIB,217
DOM,209
CRC,208
FIJ,207
ARM,205
KGZ,200
KUW,198
CYP,191
BAR,190
KSA,172
ESA,172
SMR,157
QAT,156
VIE,146
CIV,146
TAN,142
MON,138
AND,135
HON,134
BER,133
ZAM,128
SRI,123
IRQ,122
PAN,117
ANT,115
BOL,114
BIH,112
MAD,111
MRI,110
PAR,101
SEY,99
PNG,99
BRN,96
UAE,95
SLE,94
MYA,94
MNE,94
MLT,84
GUY,84
BOT,83
NCA,81
GUM,81
MAW,80
SYR,77
CGO,76
MKD,73
CAY,73
BIZ,73
NAM,71
HAI,71
JOR,69
IOA,68
TJK,65
NEP,63
COD,61
GAB,58
BEN,57
ALB,57
SUR,56
SWZ,55
OMA,55
AFG,54
TKM,53
SUD,53
LBR,53
CAM,53
LES,51
LAO,51
AHO,51
TOG,50
MOZ,49
BAN,48
SAM,46
MLI,45
CAF,45
MDV,42
GUI,42
ARU,41
SKN,39
IVB,38
GAM,38
BDI,38
ERI,37
COK,37
BUR,37
VNM,36
TGA,36
GRN,36
RWA,35
CHA,31
VAN,29
LBA,29
DJI,29
BHU,29
MTN,27
LCA,27
YEM,25
FSM,25
PLW,24
VIN,23
SOM,23
GEQ,23
ASA,21
WIF,20
GBS,20
PLE,18
DMA,18
CPV,17
STP,15
NIG,15
COM,15
SOL,13
MHL,13
ROT,12
RHO,12
MAL,12
NRU,11
KIR,11
ANZ,11
YAR,10
BRU,9
KOS,8
TLS,6
TUV,4
SSD,3
SAA,3
YMD,2
UAR,1
NFL,1
